"All Store Views","All Shop Views"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our shop, you will be able to move through the checkout process faster, shop multiple delivery addresses, view and track your orders in your account and more."
"Can't save address","Unable to save address"
"Can't save customer","Unable to save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Unable to share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Change Shipping Address","Change Delivery Address"
"Customer doesn't have primary billing address","Customer does not have a primary billing address"
"Default Shipping Address","Default Delivery Address"
"Deleted Stores","Deleted Shops"
"First name can't be empty","First name can not be empty"
"Invalid option id specified for %s (%s), skipping the record","Invalid option ID specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid shop specified, skipping the record"
"Last Url","Last URL"
"Last name can't be empty","Last name can not be empty"
"Missing firstname, skipping the record","Missing first name, skipping the record"
"Missing lastname, skipping the record","Missing last name, skipping the record"
"Password can't be empty","Password can not be empty"
"Password fields can't be empty.","Password fields can not be empty."
"Please enter your email below and we'll send you a new password.","Please enter your email below and we will send you a new password."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we will send you confirmation link for it."
"Primary Shipping Address","Primary Delivery Address"
"Set as Default Shipping Address","Set as Default Delivery Address"
"Ship to First name","Deliver to First name"
"Ship to Last name","Deliver to Last name"
"Shipped to First Name","Delivered to First Name"
"Shipped to Last Name","Delivered to Last Name"
"Shipped to Name","Delivered to Name"
"Shipping Information","Delivery Information"
"Shipping Method","Delivery Method"
"Shopping Cart","Shopping Basket"
"Shopping Cart - %d item(s)","Shopping Basket - %d item(s)"
"State/Province","County/State/Province"
"Store","Shop"
"Store View","Shop View"
"Tax Class","VAT Class"
"Tax class","VAT class"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping basket at the moment"
"To Cart","To Basket"
"Use as my default shipping address","Use as my default delivery address"
"You have no default shipping address in your address book.","You have no default delivery address in your address book."
"You have not set a primary shipping address.","You have not set a primary delivery address."
"You have placed no orders yet.","You have not placed any orders yet."
"You have placed no products yet.","You have not placed any products yet."
"You're now Logged Out","You are now logged out"
"ZIP","Postcode/Zip"
"ZIP/Post Code","Postcode/Zip"
"ZIP/Postal Code","Postcode/Zip"
"Zip/Postal Code","Postcode/Zip"
