"<label>Make Check payable to:</label> %s","<label>Make Cheque payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Cheque payable to</label>: %s"
"Can not configuration for payment method with code: %s","Unable to configure payment method with code: %s"
"Can not retrieve payment info model object.","Cannot retrieve payment info model object."
"Can not retrieve payment method instance","Cannot retrieve payment method instance"
"Can not retrieve payment method model object.","Cannot retrieve payment method model object."
"Card Verification Number","Security Code (CVV)"
"Check / Money order","Cheque / Money order"
"Credit Card Number","Credit/Debit Card Number"
"Credit Card Number: %s","Credit/Debit Card Number: %s"
"Credit Card Number: xxxx-%s","Credit/Debit Card Number: xxxx-%s"
"Credit Card Type","Credit/Debit Card Type"
"Credit Card Type: %s","Credit/Debit Card Type: %s"
"Credit Card Types","Credit/Debit Card Types"
"Credit Card Verification","Card Verification Number (CVV)"
"Make Check payable to","Make cheque payable to"
"Make Check payable to: %s","Make cheque payable to: %s"
"Payment from Specific countries","Payment from specific countries"
"Send Check to","Send Cheque to"
"Send Check to:","Send Cheque to:"
