"Authorization","Authorisation"
"Authorize and Capture","Authorise and Capture"
"Card Verification Number","Card Verification Number (CVV)"
"Change Shipping Address","Change Delivery Address"
"Edit Shopping Cart","Edit Shopping Basket"
"Incl. Tax","Incl. VAT"
"Items in Your Shopping Cart","Items in Your Shopping Basket"
"Order total amount does not match paypal gross total amount","Order total amount does not match PayPal gross total amount"
"PayPal Uk Account","PayPal UK Account"
"Paypal Checkout","PayPal Checkout"
"Please select a shipping method...","Please select a delivery method..."
"Please select a valid shipping method","Please select a valid delivery method"
"Shipping Address","Delivery Address"
"Shipping Information","Delivery Information"
"Shipping Method","Delivery Method"
"There was an error connecting to the Paypal server: %s","There was an error connecting to the PayPal server: %s"
"There was an error during communication with Paypal: %s - %s","There was an error during communication with PayPal: %s - %s"
"Update Shipping Method","Update Delivery Method"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Your billing address will be ignored and you will be redirected to the PayPal UK website"
