"Change Shipping Address","Change Delivery Address"
"Edit Shopping Cart","Edit Shopping Basket"
"Incl. Tax","Incl. VAT"
"Items in Your Shopping Cart","Items in Your Shopping Basket"
"No shipping method required.","No delivery method required."
"Please select a shipping method...","Please select a delivery method..."
"Shipping Address","Delivery Address"
"Shipping Information","Delivery Information"
"Shipping Method","Delivery Method"
"Update Shipping Method","Update Delivery Method"
"You will be redirected to PayPal website when you place an order.","You will be redirected to the PayPal website when you place your order."
"Your billing address will be ignored and you will be redirected to PayPal website","Your billing address will be ignored and you will be redirected to the PayPal website"
