"Abandoned carts","Abandoned baskets"
"Add to Cart","Add to Basket"
"Applied Coupon","Applied Voucher"
"Bestsellers","Best Sellers"
"Carts","Baskets"
"Coupons","Vouchers"
"Items in Cart","Items in Basket"
"Number Of Historical Uses","Number of Historical Uses"
"Number Of Reviews","Number of Reviews"
"Number Of Uses","Number of Uses"
"Product Sku","Product SKU"
"Products in carts","Products in baskets"
"Shipping","Delivery"
"Shopping Cart","Shopping Basket"
"Tax","VAT"
"Tax Amount","VAT Amount"
"Total Shipping","Total Delivery"
