" The customer doesn't exist in the system anymore"," The customer does not exist in the system any more"
"""%s"" coupon code is not valid.","""%s"" voucher code is not valid."
"%s order(s) successfully canceled","%s order(s) successfully cancelled"
"* - Enter custom price excluding tax","* - Enter custom price excluding VAT"
"* - Enter custom price including tax","* - Enter custom price including VAT"
"Add Gift Messsage","Add Gift Message"
"Add To Order","Add to Order"
"Add to Cart","Add to Basket"
"Apply Coupon Code","Apply Voucher Code"
"Can not add order history.","Unable to add order history."
"Can not create block ""%s""","Unable to create block ""%s"""
"Can not do shipment for order.","Unable to do delivery for order."
"Can not register existing creditmemo","Unable to register existing credit memo"
"Can not register existing invoice","Unable to register existing invoice"
"Can not register existing shipment","Unable to register existing delivery"
"Can't get order instance","Unable to get order instance"
"Canceled","Cancelled"
"Click to change shipping method","Click to change delivery method"
"Coupons","Vouchers"
"Create Shipment","Create Delivery"
"Creditmemo","Credit memo"
"Date Shipped","Date Dispatched"
"Edit Gift Messsage","Edit Gift Message"
"Email Copy of Shipment","Email Copy of Delivery"
"Error to show in shopping cart","Error to show in shopping basket"
"Excl. Tax","Excl. VAT"
"Get shipping methods and rates","Get delivery methods and rates"
"If empty, the default error aExbove will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. VAT"
"Invalid qty to ship for item ""%s""","Invalid qty to dispatch for item ""%s"""
"Invoice can not be canceled","Invoice can not be cancelled"
"Items Shipped","Items Dispatched"
"Items to Ship","Items to Dispatch"
"Move to Shopping Cart","Move to Shopping Basket"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping basket"
"New Shipment","New Delivery"
"New Shipment for Guest","New Delivery for Guest"
"Order Shipments","Order Deliveries"
"PDF Packingslips","PDF Packing Slips"
"Packingslip # ","Packing Slip #"
"Please select a store","Please select a shop"
"Print All Shipments","Print All Deliveries"
"Print Order # %s","Print Order #%s"
"Print Packingslips","Print Packing Slips"
"Print Shipment","Print Delivery"
"Purchased from (store)","Purchased from (shop)"
"Qty Shipped","Qty Dispatched"
"Refund Shipping","Refund Delivery"
"Remove Coupon Code","Remove Voucher Code"
"SHIP TO:","Deliver TO:"
"Send Shipment Comment Email Copy To","Send Delivery Comment Email Copy To"
"Send Shipment Email Copy To","Send Delivery Email Copy To"
"Ship","Deliver"
"Ship to","Deliver to"
"Ship to First name","Deliver to First name"
"Ship to Last name","Deliver to Last name"
"Ship to Name","Deliver to Name"
"Shipment","Delivery"
"Shipment #","Delivery #"
"Shipment #%s","Delivery #%s"
"Shipment Comment Email Sender","Delivery Comment Email Sender"
"Shipment Comment Email Template","Delivery Comment Email Template"
"Shipment Comment Email Template for Guest","Delivery Comment Email Template for Guest"
"Shipment Comments","Delivery Comments"
"Shipment Email Sender","Delivery Email Sender"
"Shipment Email Template","Delivery Email Template"
"Shipment Email Template for Guest","Delivery Email Template for Guest"
"Shipment Update","Delivery Update"
"Shipment Update for Guest","Delivery Update for Guest"
"Shipment email not sent","Delivery email not sent"
"Shipment email sent","Delivery email sent"
"Shipments","Deliveries"
"Shipped","Dispatched"
"Shipped By","Dispatched By"
"Shipping","Delivery"
"Shipping & Handling","Delivery & Handling"
"Shipping & Handling:","Delivery & Handling:"
"Shipping &amp; Handling","Delivery &amp; Handling"
"Shipping &amp; Handling Information","Delivery &amp; Handling Information"
"Shipping Address","Delivery Address"
"Shipping Amount","Delivery Amount"
"Shipping Information","Delivery Information"
"Shipping Method","Delivery Method"
"Shipping Method:","Delivery Method:"
"Shipping Refund","Delivery Refund"
"Shipping and Tracking Information","Delivering and Tracking Information"
"Shopping Cart","Shopping Basket"
"Sku","SKU"
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Some of the products below do not have all the required options. Please remove them and add again with all the required options."
"State/Province","County"
"Store Credit","Shop Credit"
"Submit Shipment","Submit Delivery"
"Tax","VAT"
"Tax :","VAT :"
"Tax Amount","VAT Amount"
"Tax Percent","VAT Percent"
"The item %s (SKU %s) doesn't exist in the catalog anymore","The item %s (SKU %s) does not exist in the catalogue any more"
"Total Shipping Charges","Total Delivering Charges"
"Total Tax","Total VAT"
"Track all shipment(s)","Track all deliveries"
"Track all shipments","Track all deliveries"
"Track this shipment","Track this delivery"
"Update Items and Qty's","Update Items and Qtys"
"Update Qty's","Update Qtys"
"You have placed no orders.","You have not placed any orders."
"ZIP/Post Code","Postcode/Zip"
