"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to basket items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to basket items matching the following conditions"
"Cart Attribute","Basket Attribute"
"Catalog","Catalogue"
"Coupon Code","Voucher Code"
"Coupon code","Voucher code"
"Fixed amount discount for whole cart","Fixed amount discount for whole basket"
"For shipment with matching items","For delivery with matching items"
"Free shipping","Free delivery"
"Price in cart","Price in basket"
"Quantity in cart","Quantity in basket"
"Row total in cart","Row total in basket"
"Shipping Country","Delivery Country"
"Shipping Method","Delivery Method"
"Shipping Postcode","Delivery Postcode"
"Shipping Region","Delivery Region"
"Shipping State/Province","Delivery County/State/Province"
"Shopping Cart Price Rule","Shopping Basket Price Rule"
"Shopping Cart Price Rules","Shopping Basket Price Rules"
"Uses per coupon","Uses per voucher"
