"Access license number","Access licence number"
"Cannot retrieve shipping rates","Cannot retrieve delivery rates"
"Domestic Shipment Days","Domestic Delivery Days"
"First-Class","First Class"
"Free shipping with minimum order amount","Free delivery with minimum order amount"
"International Shipment Days","International Delivery Days"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your carrier for maximum supported weight)"
"Minimum order amount for free shipping","Minimum order amount for free delivery"
"Origin of the shipment","Origin of the delivery"
"Ship to Specific countries","Deliver to Specific countries"
"Ship to applicable countries","Deliver to applicable countries"
"Shipment Contains Hazardous Materials","Delivery Contains Hazardous Materials"
"Shipment Dutiable","Delivery Dutiable"
"Shipment Duty Payment Type","Delivery Duty Payment Type"
"Shipment is not available.","Delivery is not available."
"Shipment picked up","Delivery picked up"
"Shipment type","Delivery type"
"Shipper Number","Shipper Number"
"Shipping key","Delivery key"
"Shipping key (International)","Delivery key (International)"
"There is no available method for selected shipping address.","There is no available method for selected delivery address."
